Word,Rank,Freqency
lady,308,0.00034024
turned,309,0.000339772
brother,310,0.000339304
having,311,0.000339304
body,312,0.000338368
find,313,0.0003379
dear,314,0.000336964
white,315,0.000336964
keep,316,0.000335092
door,317,0.000334156
art,318,0.00033322
wife,319,0.000332752
blood,320,0.000331348
half,321,0.00033088
friend,322,0.000329008
stand,323,0.000325732
moment,324,0.000325264
holy,325,0.000323392
gone,326,0.000321988
none,327,0.000319648
law,328,0.000317308
fear,329,0.00031684
hope,330,0.000314032
home,331,0.000313564
really,332,0.000310756
few,333,0.000310288
however,334,0.000308416
priest,335,0.000308416
spake,336,0.000307012
believe,337,0.00030514
gold,338,0.0003028
taken,339,0.000301396
peace,340,0.000299056
egypt,341,0.000294376
does,342,0.00029344
call,343,0.000292504
mouth,344,0.000290164
elinor,345,0.000289228
within,346,0.000288292
yes,347,0.000287824
sword,348,0.000285484
perhaps,349,0.000285016
known,350,0.00028408
feet,351,0.000282676
strong,352,0.000282676
felt,353,0.000281272
power,354,0.000280804
near,355,0.000280336
cast,356,0.0002794
whether,357,0.000278464
fathers,358,0.000278464
present,359,0.000277996
year,360,0.000277996
room,361,0.000277528
asked,362,0.00027706
sort,363,0.000276124
bear,364,0.000275656
ship,365,0.000273783
air,366,0.000273315
four,367,0.000272847
best,368,0.000271911
servant,369,0.000271443
servants,370,0.000270039
brethren,371,0.000270039
christ,372,0.000270039
small,373,0.000267231
turn,374,0.000264891
next,375,0.000263019
sat,376,0.000261147
happy,377,0.000260679
mean,378,0.000259275
marianne,379,0.000258807
five,380,0.000258339
seven,381,0.000257871
above,382,0.000256935
want,383,0.000255531
hold,384,0.000254595
return,385,0.000254127
open,386,0.000252723
fell,387,0.000251787
live,388,0.000251787
else,389,0.000249915
since,390,0.000249915
cut,391,0.000248979
glory,392,0.000244767
daughter,393,0.000244299
certain,394,0.000243831
sin,395,0.000243363
pray,396,0.000243363
cities,397,0.000242427
truth,398,0.000241491
sun,399,0.000239619
coming,400,0.000239619
lay,401,0.000239619
child,402,0.000239151
others,403,0.000238683
ahab,404,0.000238215
until,405,0.000238215
least,406,0.000237747
turnbull,407,0.000237279
leave,408,0.000237279
manner,409,0.000237279
TRUE,410,0.000236811
cause,411,0.000236811
flesh,412,0.000236343
sister,413,0.000235407
passed,414,0.000234939
looking,415,0.000234003
anne,416,0.000233535
afraid,417,0.000231663
matter,418,0.000230727
got,419,0.000229791
ground,420,0.000228855
wish,421,0.000228387
syme,422,0.000228387
boy,423,0.000227451
commanded,424,0.000226983
alone,425,0.000226047
fall,426,0.000225579
towards,427,0.000225579
enter,428,0.000223707
walk,429,0.000223707
friends,430,0.000223707
less,431,0.000223239
evening,432,0.000221835
ten,433,0.000221835
family,434,0.000221367
replied,435,0.000221367
behind,436,0.000219495
answer,437,0.000219027
toward,438,0.000218559
drink,439,0.000218091
eye,440,0.000218091
die,441,0.000218091
kind,442,0.000216687
times,443,0.000214815
john,444,0.000213879
second,445,0.000212943
along,446,0.000211071
midst,447,0.000210603
bread,448,0.000208263
haue,449,0.000207795
reason,450,0.000205455
black,451,0.000205455
waters,452,0.000205455
priests,453,0.000204987
silver,454,0.000204519
joy,455,0.000204051
kept,456,0.000204051
money,457,0.000203115
mighty,458,0.000202179
hour,459,0.000202179
book,460,0.000201711
large,461,0.000200775
field,462,0.000199839
i'm,463,0.000199371
tree,464,0.000199371
kings,465,0.000198435
feel,466,0.000198435
help,467,0.000197967
living,468,0.000197967
wicked,469,0.000197499
often,470,0.000196562
war,471,0.000196562
ask,472,0.000196562
remember,473,0.000195626
fine,474,0.000195158
understand,475,0.00019469
course,476,0.000193286
macian,477,0.000193286
country,478,0.000192818
returned,479,0.000191882
pleasure,480,0.000190946
spoken,481,0.000190478
dwell,482,0.000189074
twenty,483,0.000189074
saul,484,0.000188138
altar,485,0.000188138
person,486,0.00018767
garden,487,0.000186734
burnt,488,0.000186266
strange,489,0.000186266
send,490,0.000186266
nations,491,0.000185798
certainly,492,0.000185798
ready,493,0.000185798
written,494,0.000184862
it's,495,0.000184394
able,496,0.000184394
faith,497,0.00018299
women,498,0.000182522
harriet,499,0.000182522
alice,500,0.000181586
anything,501,0.000181586
surely,502,0.000181586
short,503,0.000180182
ought,504,0.000180182
broken,505,0.000179714
dark,506,0.000179714
wherefore,507,0.000179246
chief,508,0.000179246
sweet,509,0.000179246
strength,510,0.000178778
weston,511,0.000178778
praise,512,0.00017831
gods,513,0.000177842
laid,514,0.000177842
ran,515,0.000177374
red,516,0.000176906
congregation,517,0.00017597
judgment,518,0.00017597
either,519,0.000175034
i'll,520,0.000174566
green,521,0.00017363
brown,522,0.00017363
itself,523,0.00017363
yea,524,0.000173162
received,525,0.000172694
business,526,0.000172226
meet,527,0.000171758
walked,528,0.000171758
nature,529,0.000170822
kingdom,530,0.000170354
glad,531,0.000169886
jacob,532,0.000168482
bed,533,0.000168482
